epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,852.912,2.6485,2.08433,2.69606,0.305,0.30575,0.28961,0.10892,4.09198,3.63815,3.82446,0.000848969,0.000848969,0.000848969
43,873.072,2.67849,2.03447,2.73893,0.30445,0.3552,0.33884,0.11716,4.20339,3.71939,4.04171,0.000834822,0.000834822,0.000834822
44,893.252,2.57933,1.97371,2.66223,0.32333,0.30433,0.30879,0.12937,4.23006,3.60825,4.02493,0.000820675,0.000820675,0.000820675
45,913.385,2.60294,1.975,2.65602,0.62572,0.31676,0.28791,0.12715,4.08077,3.47101,3.91795,0.000806528,0.000806528,0.000806528
46,933.559,2.59536,1.94531,2.67404,0.51699,0.33939,0.30778,0.11582,4.2542,3.58114,4.0803,0.00079238,0.00079238,0.00079238
47,953.669,2.51478,1.83874,2.6392,0.64041,0.31127,0.29452,0.11235,4.243,3.61056,4.03798,0.000778233,0.000778233,0.000778233
48,973.867,2.56567,1.87053,2.64244,0.31873,0.31093,0.29686,0.11362,4.1336,3.59686,3.99218,0.000764086,0.000764086,0.000764086
49,994.079,2.57299,1.8539,2.60306,0.28859,0.34428,0.30345,0.12172,4.10245,3.36549,3.86716,0.000749939,0.000749939,0.000749939
50,1014.31,2.47052,1.82128,2.60166,0.32085,0.41323,0.3033,0.11206,4.13366,3.48348,3.90229,0.000735792,0.000735792,0.000735792
51,1034.56,2.43358,1.76942,2.59501,0.32136,0.29854,0.271,0.10882,4.16586,3.52458,3.90337,0.000721645,0.000721645,0.000721645
52,1054.63,2.33374,1.69546,2.51628,0.41239,0.34232,0.28514,0.11546,4.09963,3.77711,3.88108,0.000707498,0.000707498,0.000707498
53,1074.73,2.28357,1.61461,2.47856,0.45406,0.42945,0.35298,0.12585,4.15702,3.63365,3.95949,0.000693351,0.000693351,0.000693351
54,1094.94,2.28432,1.5748,2.4774,0.46496,0.4284,0.35679,0.12322,4.26094,3.71871,4.04345,0.000679204,0.000679204,0.000679204
55,1115.14,2.27508,1.62179,2.48129,0.33842,0.324,0.32053,0.12916,4.07924,3.61754,3.91277,0.000665057,0.000665057,0.000665057
56,1135.44,2.28785,1.58343,2.48911,0.3125,0.38595,0.29122,0.12861,4.09475,3.5967,4.00635,0.000650909,0.000650909,0.000650909
57,1155.55,2.20053,1.53112,2.42822,0.34546,0.35873,0.32549,0.12311,4.18098,3.62219,4.09796,0.000636762,0.000636762,0.000636762
58,1175.68,2.23026,1.533,2.44896,0.46143,0.34561,0.34567,0.16039,4.28371,3.81513,4.15914,0.000622615,0.000622615,0.000622615
59,1196.13,2.12458,1.45518,2.39459,0.32816,0.41208,0.33269,0.13142,4.22249,3.70432,4.09911,0.000608468,0.000608468,0.000608468
60,1216.23,2.18577,1.51808,2.4349,0.35748,0.34762,0.28264,0.11529,4.42284,3.84904,4.23883,0.000594321,0.000594321,0.000594321
61,1236.41,2.16854,1.46052,2.39939,0.45064,0.34744,0.37083,0.12894,4.2208,3.64316,4.08142,0.000580174,0.000580174,0.000580174
62,1256.6,2.13048,1.48175,2.38595,0.59719,0.52046,0.46939,0.20255,4.24744,3.66291,4.20191,0.000566027,0.000566027,0.000566027
63,1277.07,2.02568,1.37998,2.31427,0.62842,0.49777,0.51266,0.19555,4.23287,3.7747,4.1492,0.00055188,0.00055188,0.00055188
64,1297.19,2.01993,1.3781,2.35751,0.32799,0.38038,0.26723,0.11078,4.24178,4.0531,4.18665,0.000537733,0.000537733,0.000537733
65,1317.34,2.10818,1.4219,2.35488,0.52286,0.4097,0.38585,0.12993,4.1363,3.7052,4.03753,0.000523586,0.000523586,0.000523586
66,1337.5,2.06773,1.34292,2.33975,0.38013,0.44709,0.42378,0.15408,4.2802,3.53312,4.136,0.000509438,0.000509438,0.000509438
67,1357.67,1.99596,1.30689,2.33461,0.4285,0.38289,0.35043,0.13336,4.3588,3.66119,4.18957,0.000495291,0.000495291,0.000495291
68,1377.83,1.94343,1.28009,2.28994,0.38079,0.45714,0.36636,0.16736,4.22633,3.95199,4.12896,0.000481144,0.000481144,0.000481144
69,1397.91,1.96616,1.32657,2.31209,0.40366,0.40063,0.34667,0.14048,4.22029,3.71899,4.1759,0.000466997,0.000466997,0.000466997
70,1418.12,1.95426,1.28219,2.28404,0.29651,0.35579,0.31049,0.1337,4.28244,3.73254,4.19716,0.00045285,0.00045285,0.00045285
71,1438.31,1.9144,1.24212,2.27808,0.33817,0.37943,0.31508,0.13089,4.3012,4.06983,4.19126,0.000438703,0.000438703,0.000438703
72,1458.49,1.8536,1.23788,2.25724,0.34869,0.4448,0.31283,0.12784,4.36432,3.76373,4.34187,0.000424556,0.000424556,0.000424556
73,1478.77,1.83509,1.22837,2.22801,0.4771,0.35062,0.35965,0.1487,4.20161,3.74058,4.17767,0.000410409,0.000410409,0.000410409
74,1499.09,1.78607,1.19617,2.21941,0.49271,0.40706,0.39091,0.16523,4.20138,3.79121,4.22398,0.000396262,0.000396262,0.000396262
75,1519.23,1.7262,1.12837,2.21456,0.37072,0.4557,0.34944,0.142,4.11448,3.82179,4.09837,0.000382115,0.000382115,0.000382115
76,1539.35,1.79274,1.16734,2.233,0.47108,0.42796,0.38701,0.14832,4.18042,3.73123,4.17509,0.000367967,0.000367967,0.000367967
77,1559.43,1.69499,1.12058,2.182,0.32898,0.34921,0.29882,0.12699,4.29322,4.04719,4.20861,0.00035382,0.00035382,0.00035382
78,1579.54,1.73821,1.12996,2.17139,0.35858,0.39277,0.31472,0.13911,4.24227,3.66649,4.18007,0.000339673,0.000339673,0.000339673
79,1599.78,1.70617,1.11624,2.1827,0.41982,0.33212,0.34718,0.1676,4.2892,3.91297,4.26075,0.000325526,0.000325526,0.000325526
80,1619.91,1.7431,1.08526,2.16828,0.53624,0.3284,0.35345,0.15586,4.221,3.90751,4.20628,0.000311379,0.000311379,0.000311379
81,1640.03,1.75878,1.12971,2.19269,0.32682,0.36598,0.28116,0.12488,4.17643,3.95329,4.10308,0.000297232,0.000297232,0.000297232
82,1660.18,1.64767,1.07031,2.15624,0.41894,0.42074,0.32304,0.1484,4.17834,4.0896,4.11493,0.000283085,0.000283085,0.000283085
83,1680.52,1.65299,1.0528,2.16267,0.37767,0.41235,0.308,0.139,4.32009,4.25997,4.28067,0.000268938,0.000268938,0.000268938
84,1700.6,1.58518,1.02578,2.09934,0.41028,0.42187,0.3806,0.17217,4.25362,3.9161,4.23388,0.000254791,0.000254791,0.000254791
85,1720.79,1.61216,1.04482,2.1245,0.35747,0.43245,0.31749,0.1431,4.2838,4.08505,4.32935,0.000240644,0.000240644,0.000240644
86,1740.97,1.58761,1.02141,2.13246,0.35313,0.3856,0.30197,0.13097,4.22252,4.06107,4.23828,0.000226497,0.000226497,0.000226497
87,1761.16,1.5335,1.00039,2.09688,0.45153,0.38348,0.37321,0.16655,4.25951,3.9217,4.2719,0.000212349,0.000212349,0.000212349
88,1781.27,1.53788,0.98396,2.0979,0.55375,0.48677,0.44459,0.15034,4.24992,4.21478,4.27258,0.000198202,0.000198202,0.000198202
89,1801.4,1.55022,0.98508,2.05928,0.46354,0.45503,0.34795,0.14486,4.22967,4.12188,4.26199,0.000184055,0.000184055,0.000184055
90,1821.56,1.50191,0.93671,2.06795,0.36405,0.38054,0.36209,0.13811,4.31945,4.15713,4.35209,0.000169908,0.000169908,0.000169908
91,1842.82,1.30818,0.75057,1.95362,0.36925,0.35379,0.36743,0.13964,4.28561,4.30491,4.34067,0.000155761,0.000155761,0.000155761
92,1863.1,1.29756,0.71415,1.95582,0.43508,0.44903,0.3929,0.15306,4.25705,4.09512,4.34046,0.000141614,0.000141614,0.000141614
93,1883.28,1.25572,0.70318,1.91472,0.3944,0.42258,0.32181,0.14384,4.2291,4.14462,4.32574,0.000127467,0.000127467,0.000127467
94,1903.35,1.2524,0.69966,1.91797,0.36422,0.37584,0.32506,0.14336,4.25826,3.91683,4.34269,0.00011332,0.00011332,0.00011332
95,1923.58,1.25437,0.71967,1.9244,0.40839,0.48762,0.34034,0.14925,4.25125,4.08273,4.33024,9.91726e-05,9.91726e-05,9.91726e-05
96,1943.83,1.20357,0.68827,1.87657,0.41912,0.47848,0.34913,0.15521,4.23849,4.04935,4.32826,8.50255e-05,8.50255e-05,8.50255e-05
97,1964.25,1.20257,0.66609,1.91259,0.43531,0.47884,0.34825,0.15613,4.2056,4.01653,4.33038,7.08784e-05,7.08784e-05,7.08784e-05
98,1984.38,1.15401,0.6512,1.87307,0.40239,0.45549,0.35998,0.16004,4.2124,4.09768,4.33885,5.67313e-05,5.67313e-05,5.67313e-05
99,2004.52,1.14591,0.6302,1.87184,0.40151,0.4231,0.35125,0.15823,4.2261,4.10033,4.3338,4.25842e-05,4.25842e-05,4.25842e-05
100,2024.65,1.14924,0.6572,1.86606,0.40052,0.43262,0.34945,0.15627,4.23881,4.12145,4.33825,2.84371e-05,2.84371e-05,2.84371e-05
